Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,Time,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16
4613,1479,104.0879033,30.64936446,1202,104.0888813,30.64903065,100.7554867,10.88902918382,22.45186,0.0,0.0,0.0,14.050851,0.0,6.0163646,34.04347,0.0,13.255002,19.04016,0.0,36.080086,22.814602,14.645613,0.0
4614,1479,104.0879033,30.64936446,1566,104.08862629999999,30.65131513,227.0197702,28.7052753964,47.324123,0.0,0.0,0.0,44.116955,0.0,41.475212,92.100235,0.0,49.19677,25.752357,0.0,76.36077,88.41762,46.07358,0.0
4615,1480,104.0631296,30.68605134,209,104.06751259999999,30.68327023,520.8336373999999,69.85466601219998,152.37231,0.0,0.0,0.0,154.45705,0.0,58.520775,236.27438,0.0,67.51788,83.97467,0.0,178.82042,168.31021,133.11789,0.0
4616,1480,104.0631296,30.68605134,788,104.063652,30.68685923,102.57260450000001,13.418361737020001,29.71643,0.0,0.0,0.0,24.720787,0.0,17.824589,39.37911,0.0,25.051266,18.859606,0.0,29.906713,35.751274,19.878254,0.0
4617,1480,104.0631296,30.68605134,1456,104.0617409,30.68499207,177.4167256,21.478116110400002,45.318817,0.0,0.0,0.0,42.139503,0.0,12.910068,63.020847,0.0,23.837452,31.967098,0.0,48.943172,65.994576,24.38746,0.0
4618,1481,104.0350137,30.65903884,1029,104.0316515,30.65804403,340.4914895,39.953212097,70.72281,0.0,0.0,0.0,99.04648,0.0,32.81664,124.76162,0.0,35.309322,40.794563,0.0,123.926346,105.20277,75.837746,0.0
4619,1481,104.0350137,30.65903884,1411,104.0385396,30.65746299,380.3083831,43.5580518694,84.72258,0.0,0.0,0.0,129.94969,0.0,45.625214,109.3127,0.0,95.26439,42.32691,0.0,97.449295,126.52631,83.01247,0.0
4620,1481,104.0350137,30.65903884,1427,104.03147340000001,30.66097788,401.5502994,45.212271533999996,96.77036,0.0,0.0,0.0,79.72766,0.0,32.24238,121.01576,0.0,52.72202,47.274963,0.0,125.594536,134.73119,75.42626,0.0
4621,1481,104.0350137,30.65903884,1835,104.0362324,30.659465700000002,125.98601670000001,13.917924081799999,25.839865,0.0,0.0,0.0,29.70259,0.0,12.400433,42.477894,0.0,14.647936,16.054012,0.0,40.890396,38.064663,26.255836,0.0
4622,1482,104.086665,30.67709933,718,104.0839234,30.67841788,300.55711360000004,40.208063758,73.313644,0.0,0.0,0.0,88.13227,0.0,18.932978,108.37285,0.0,51.78336,67.55389,0.0,124.657715,101.2981,77.13284,0.0
4623,1482,104.086665,30.67709933,1264,104.08909229999999,30.68076523,468.11783499999996,59.6402388392,105.023476,0.0,0.0,0.0,138.47668,0.0,31.563564,193.46732,0.0,62.63768,102.33161,0.0,145.86215,168.90637,108.471054,0.0
4624,1482,104.086665,30.67709933,1412,104.0851123,30.67463565,310.93807910000004,45.1680552354,79.81453,0.0,0.0,0.0,116.51982,0.0,50.33105,130.27971,0.0,57.69964,54.80896,0.0,129.39337,123.81945,78.26605,0.0
4625,1482,104.086665,30.67709933,1467,104.08957679999999,30.6755439,327.90892210000004,37.5476863178,72.5141,0.0,0.0,0.0,60.4255,0.0,50.539978,118.78631,0.0,56.72993,46.602497,0.0,95.151344,108.05846,45.997166,0.0
4626,1483,104.0289982,30.69883277,440,104.034183,30.70224286,624.0356267000001,55.2732792472,107.22338,0.0,0.0,0.0,132.12024,0.0,46.959396,142.11124,0.0,76.26458,70.27428,0.0,169.59192,140.16689,108.90521,0.0
4627,1483,104.0289982,30.69883277,1033,104.0335529,30.694869,619.1076602999999,66.5397129434,106.06658,0.0,0.0,0.0,107.80747,0.0,95.75001,204.18642,0.0,0.0,149.17183,0.0,249.54492,177.27776,215.71448,0.0
4628,1483,104.0289982,30.69883277,1323,104.027512,30.69823421,157.04251440000002,14.882665328579996,31.669977,0.0,0.0,0.0,21.058664,0.0,25.44593,38.925354,0.0,15.737674,12.42975,0.0,49.227833,42.95027,24.542707,0.0
4629,1483,104.0289982,30.69883277,1585,104.0263028,30.70117585,366.1637996,30.0172924234,60.540504,0.0,0.0,0.0,48.001637,0.0,10.874478,85.350136,0.0,27.288979,58.560028,0.0,85.584915,82.23001,63.200638,0.0
4630,1484,104.05808370000001,30.66598975,1652,104.0600469,30.66597437,188.0975574,16.4783025946,35.39414,0.0,0.0,0.0,30.873075,0.0,16.899908,46.3064,0.0,16.069483,25.323381,0.0,46.422733,44.54714,30.162483,0.0
4631,1484,104.05808370000001,30.66598975,1719,104.058001,30.66940919,379.06050319999997,25.9838850484,54.688465,0.0,0.0,0.0,56.825558,0.0,23.900604,76.9293,0.0,35.51867,45.725155,0.0,67.25598,62.84526,38.992863,0.0
4632,1484,104.05808370000001,30.66598975,1865,104.0581438,30.66240031,397.86128130000003,30.979349322199997,67.660164,0.0,0.0,0.0,67.32831,0.0,38.18467,67.449326,0.0,51.17114,32.743607,0.0,86.90759,90.24237,42.588703,0.0
4633,1485,104.0877355,30.64267114,1587,104.0896025,30.64396027,228.9557312,33.8413787842,60.873085,0.0,0.0,0.0,90.521255,0.0,21.712502,96.86977,0.0,61.192226,45.129593,0.0,86.94117,87.6898,59.756756,0.0
4634,1485,104.0877355,30.64267114,1695,104.0875368,30.6431534,56.73875603,7.1737780848399995,14.310363,0.0,0.0,0.0,15.218406,0.0,6.8765006,19.078365,0.0,10.25019,10.780416,0.0,20.190819,19.341784,10.660563,0.0
4635,1485,104.0877355,30.64267114,1740,104.09011629999999,30.63838237,527.2409087,55.737908087200005,111.73926,0.0,0.0,0.0,23.370604,0.0,0.0,153.02821,0.0,48.094563,136.11409,0.0,155.64932,175.69177,104.77993,0.0
4636,1486,104.0429071,30.71895045,83,104.0467513,30.72074964,418.64148860000006,53.631530589600004,128.96065,0.0,0.0,0.0,82.90687,0.0,17.853388,155.31046,0.0,73.85915,106.93862,0.0,106.73591,149.83334,76.70414,0.0
4637,1486,104.0429071,30.71895045,1054,104.04197059999998,30.71987075,135.8142701,14.9709436318,32.22985,0.0,0.0,0.0,39.419838,0.0,9.034343,43.589108,0.0,15.535128,25.834757,0.0,36.201332,38.592945,27.04317,0.0
4638,1486,104.0429071,30.71895045,1654,104.045209,30.71599628,394.69984680000005,48.2958945266,108.18427,0.0,0.0,0.0,104.68197,0.0,18.247911,139.3825,0.0,24.021841,89.32177,0.0,147.5673,108.90826,111.606,0.0
4639,1487,104.04306319999999,30.65952867,805,104.0456983,30.65616209,450.5168961,54.486215069800004,124.785995,0.0,0.0,0.0,91.891594,0.0,33.17528,192.6715,0.0,61.000843,40.347637,0.0,149.82217,125.44147,95.11039,0.0
4640,1487,104.04306319999999,30.65952867,1310,104.0449103,30.65422889,613.4618001,66.5084932388,123.17344,0.0,0.0,0.0,217.31924,0.0,65.93597,187.2,0.0,100.9724,92.675514,0.0,185.0501,154.00131,134.10802,0.0
